leaf,Amount_Borrowed,Predict_Return,Actual_Return,Predict_Sd,Year,Node_ID
144,408825,0.1948253633,0.1036683082,0.0330796928,2012,2012144
148,1824202.22,0.0562994725,0.0535190978,0.0574326565,2012,2012148
151,623147.51,0.1055588223,0.1275102573,0.0215567949,2012,2012151
152,1478944.43,0.1520640107,0.1129260399,0.0179523154,2012,2012152
153,682122.72,0.0525051098,0.060917945,0.0433804757,2012,2012153
155,667300,-0.0425504545,0.1035064073,0.0847085811,2012,2012155
158,643677,0.011451125,0.0801854189,0.0680600442,2012,2012158
159,1772846.62,0.0724165787,0.0944244264,0.0642397402,2012,2012159
160,1308207.83,-0.0258471682,0.0897447928,0.0758038997,2012,2012160
163,782365,0.0268069324,0.0541460211,0.0808810043,2012,2012163
166,920522,0.0254554395,0.0927526103,0.062629757,2012,2012166
167,1551106.39,0.0979269146,0.1003034954,0.0342435055,2012,2012167
170,1672987.99,0.0823909346,0.0400533965,0.0540463614,2012,2012170
172,2123201.27,0.0954830885,0.0769718089,0.0426431439,2012,2012172
174,1627746.66,0.1657897421,0.060207276,0.0370504365,2012,2012174
176,3415787.6,0.1372612978,0.0604587632,0.020659786,2012,2012176
177,2200496.05,0.1032226451,0.1237307903,0.0447627191,2012,2012177
181,1181025.87,0.0550778243,0.0873242152,0.0429699534,2012,2012181
182,1707933.19,0.1185797579,0.0826622774,0.0542902204,2012,2012182
183,1184547.25,0.0247193073,0.1404484269,0.0674304709,2012,2012183
184,1431871,0.1255403921,0.1225796972,0.0375253922,2012,2012184
185,1525286.3,0.0292597426,0.0670819729,0.0882269084,2012,2012185
187,924454.96,0.0486090658,0.1166919802,0.0551356772,2012,2012187
188,620010,-0.0749326219,0.0846911796,0.079031916,2012,2012188
192,33958.9,0.1688544885,0.2461135312,0.0137605992,2012,2012192
197,37950,-0.1012934135,-0.0903145549,0.0797051578,2012,2012197
198,44588.61,-0.0112032191,-0.0800728213,0.0803205275,2012,2012198
199,17009,0.050326817,0.1468023858,0.0897283327,2012,2012199
207,19500,0.0525299079,0.2640534273,0.0409656252,2012,2012207
208,17244.5,-0.0202265526,0.2592555122,0.0659761746,2012,2012208
209,36592.4,0.0783780628,0.1733184597,0.045136285,2012,2012209
210,9600,-0.0373662234,-0.6717048791,0.0704930559,2012,2012210
212,26400,0.1062250861,0.1418402047,0.0409066682,2012,2012212
214,3500,0.1015769882,0.2435981159,0.021068968,2012,2012214
216,15850,0.0076916377,0.2445137266,0.0586426872,2012,2012216
217,24717.88,0.0802110873,0.1127770428,0.0441528037,2012,2012217
222,25800,-0.052190969,0.1661251148,0.0763921141,2012,2012222
224,26105.36,0.0971183047,-0.0001618065,0.0666316553,2012,2012224
225,34495.21,-0.0102947924,0.170820554,0.0713188367,2012,2012225
228,11920,0.104375431,0.2506197171,0.013082629,2012,2012228
229,13319,0.0561339614,-0.1295020934,0.0626021692,2012,2012229
231,60638.5,0.0797812369,0.0698141161,0.0509908632,2012,2012231
233,29723.21,-0.0254585788,0.1900541703,0.0818352757,2012,2012233
234,32099.27,0.0597455929,0.0933412707,0.0615872928,2012,2012234
238,9776.83,-0.0243798822,0.0663671271,0.0682066702,2012,2012238
239,11000,-0.102870796,0.2458976839,0.0840963701,2012,2012239
240,48234.23,0.0330495823,0.1434731555,0.0559997937,2012,2012240
241,36176.89,0.0636047404,0.2493265252,0.0591450928,2012,2012241
242,70025.91,-0.0598176691,0.0996455108,0.0782729938,2012,2012242
246,13134.79,0.1038446302,0.0240507517,0.0710897874,2012,2012246
248,16686.33,-0.0043480664,-0.0158064099,0.0698963988,2012,2012248
252,10437.15,0.0262098584,0.247397237,0.0623219181,2012,2012252
254,11000,0.0806213619,-0.4995557802,0.0538638474,2012,2012254
255,46641.65,0.1425916647,0.1984192204,0.0384956807,2012,2012255
256,23100,-0.007995413,0.0968724016,0.0831534205,2012,2012256
258,45103.57,0.0708365028,0.2502658153,0.0661850155,2012,2012258
259,37200,-0.0483863688,0.2000207887,0.0803009368,2012,2012259
261,54101.58,0.0784444399,0.2475037259,0.0764904603,2012,2012261
262,40283.78,0.1603683905,0.0896263812,0.0169759933,2012,2012262
263,52448.77,0.1476753815,-0.0236476271,0.0620903292,2012,2012263
265,25900,-0.0829882581,0.0850893901,0.0941815402,2012,2012265
266,59012.17,0.0219820164,0.1041376275,0.0605609286,2012,2012266
272,20700,0.0184585636,-0.0233981298,0.0659328485,2012,2012272
275,13800,0.0326962403,0.2719934161,0.0954604193,2012,2012275
276,9000,-0.1023370689,0.2477146239,0.071415912,2012,2012276
277,3000,-0.1319238079,0.2393190683,0.0868539067,2012,2012277
279,15500,0.0214619576,0.24340595,0.0643574058,2012,2012279
281,4000,0.1082925022,0.2472715226,0.0331232181,2012,2012281
282,5500,0.0612322378,0.2818014925,0.0606996752,2012,2012282
285,7000,0.0932392766,-0.3316318841,0.0655042518,2012,2012285
286,16725,-0.0045064847,0.2481242537,0.0736131018,2012,2012286
289,15499.61,-0.0468990601,0.0685225037,0.1041730221,2012,2012289
290,4774.16,-0.1833034015,0.3050154433,0.0863492394,2012,2012290
291,12877.54,-0.0158672175,0.2501469126,0.0675360283,2012,2012291
295,287832.32,0.0595851006,0.1126462576,0.0471319715,2012,2012295
298,3033.05,-0.0682946814,0.2377188749,0.1007645714,2012,2012298
301,3861.92,-0.0144325455,0.2418083423,0.0876124997,2012,2012301
304,3000,-0.030202079,0.2543290683,0.0753874348,2012,2012304
305,36000,-0.1647100781,0.206213579,0.0935478102,2012,2012305
306,20000,-0.2083720851,0.1511087304,0.0968471232,2012,2012306
9,201500,0.0416716248,0.0808435039,0.0369879304,2013,20139
11,515538.7,0.0786675015,0.0769327918,0.0052924476,2013,201311
15,670900,0.0751712967,0.078292627,0.0048691245,2013,201315
17,1293252.32,0.0692285371,0.068982401,0.0035945117,2013,201317
18,1412950,0.0589793586,0.0766578519,0.0131498776,2013,201318
21,1001868.08,0.0594470202,0.0755556624,0.0138194818,2013,201321
22,1177788,0.0270728759,0.0589441895,0.0327694467,2013,201322
24,995790,0.0501271321,0.0025631748,0.0217878392,2013,201324
26,775080.01,0.0683128955,0.0638725201,0.0041198026,2013,201326
27,2658005.87,0.0735249165,0.0667163045,0.0036681188,2013,201327
31,427301,0.0706604937,0.0790013918,0.0034724305,2013,201331
32,1205535,0.0532011054,0.0683509958,0.0246558853,2013,201332
34,2037713.71,0.0711359336,0.0614201736,0.0031280036,2013,201334
35,2188230.43,0.0775802323,0.0792020684,0.0041622494,2013,201335
36,2089515.05,0.0845654771,0.041833618,0.0059227563,2013,201336
38,2226382.74,0.0239860603,0.0682506922,0.0301848428,2013,201338
40,2586040.09,0.0793791448,0.0609917423,0.0040429952,2013,201340
41,2804511.18,0.0595021313,0.07393183,0.0112268948,2013,201341
43,2049880.14,0.0570897953,0.0406078637,0.0073281489,2013,201343
44,2066947.03,0.0238649292,0.0680221821,0.0498620362,2013,201344
48,141375,0.0334717945,0.0476920846,0.0465871385,2013,201348
54,575534.01,0.0530908047,0.0170118946,0.0039733618,2013,201354
55,591175,0.0492520363,0.0475696582,0.0037833217,2013,201355
56,484955,0.0419758102,0.044074971,0.0080656006,2013,201356
59,438700,0.0504795434,0.0215164487,0.0045097428,2013,201359
60,514500,0.0537472867,0.047132117,0.003243872,2013,201360
62,710401,0.0596734679,0.0453130648,0.0031219261,2013,201362
64,601979.04,0.0565630619,0.0454134032,0.003904018,2013,201364
65,610100,0.0511508875,0.0452991814,0.0035281606,2013,201365
66,1203843,0.0392136958,0.0438550856,0.0525203853,2013,201366
68,632950,0.0517872744,0.0285009469,0.0039138151,2013,201368
69,1162334.82,0.0758537152,0.0323725214,0.0142401561,2013,201369
70,1763208.73,0.0213342417,0.0473352384,0.0514915957,2013,201370
71,524740,0.0677624739,0.0476255097,0.0065010759,2013,201371
77,520551,0.0373036351,0.0603307911,0.0378221921,2013,201377
80,682588,0.0641493251,0.0609373799,0.0052802097,2013,201380
