,field,pvalues,rsquared,coef,conf_low,conf_high
151,C(occupation)[T.Food Service],2.66270343315e-34,0.32246544509,-0.100230686808,-0.116313688736,-0.0841476848797
152,C(occupation)[T.Homemaker],5.99924472626e-12,0.32246544509,-0.152181274091,-0.195534334428,-0.108828213754
153,C(occupation)[T.Investor],0.0112364982621,0.32246544509,-0.042408941062,-0.0751944766019,-0.0096234055221
154,C(occupation)[T.Judge],0.275878089739,0.32246544509,0.0449048796442,-0.0358680188965,0.125677778185
155,C(occupation)[T.Laborer],2.68969298252e-18,0.32246544509,-0.061952885603,-0.0758705443023,-0.0480352269038
156,C(occupation)[T.Landscaping],2.29712263579e-07,0.32246544509,-0.0819446985363,-0.112988173795,-0.0509012232778
157,C(occupation)[T.Medical Technician],7.47260872259e-06,0.32246544509,-0.0359942917339,-0.0517420403032,-0.0202465431646
158,C(occupation)[T.Military Enlisted],0.219668851344,0.32246544509,-0.011391189477,-0.029581034509,0.00679865555504
159,C(occupation)[T.Military Officer],0.789554701156,0.32246544509,-0.00409891136773,-0.0342004031036,0.0260025803681
160,C(occupation)[T.Nurse (LPN)],6.8505621036e-09,0.32246544509,-0.062442362335,-0.0835623069279,-0.041322417742
161,C(occupation)[T.Nurse (RN)],0.0893989457657,0.32246544509,-0.0103140849581,-0.0222153762944,0.00158720637825
162,C(occupation)[T.Nurse's Aide],5.86960213683e-21,0.32246544509,-0.0970892938414,-0.117347637127,-0.0768309505562
163,C(occupation)[T.Other],7.92011049572e-31,0.32246544509,-0.0533999613283,-0.0624649810257,-0.0443349416309
164,C(occupation)[T.Pharmacist],0.120162619883,0.32246544509,0.0245655345355,-0.00641568302655,0.0555467520975
165,C(occupation)[T.Pilot - Private/Commercial],0.185234778545,0.32246544509,0.0254620982043,-0.0122074435161,0.0631316399248
166,C(occupation)[T.Police Officer/Correction Officer],0.977935806708,0.32246544509,0.000196311837205,-0.0137158036972,0.0141084273717
167,C(occupation)[T.Postal Service],0.0179308859685,0.32246544509,-0.0248292009724,-0.0453882930067,-0.00427010893814
168,C(occupation)[T.Principal],0.291852370494,0.32246544509,-0.0146209967383,-0.0418078132654,0.0125658197888
169,C(occupation)[T.Professional],0.865922799198,0.32246544509,0.000818712558724,-0.00868530289929,0.0103227280167
170,C(occupation)[T.Professor],0.449517493452,0.32246544509,-0.00843040855203,-0.030280356028,0.0134195389239
171,C(occupation)[T.Psychologist],0.40548866463,0.32246544509,-0.0169290049135,-0.0568160185232,0.0229580086962
